Zeit,Temperatur Innen(℃),Luftfeuchtigkeit Innen(%),Temperatur Aussen(℃),Luftfeuchtigkeit Aussen(%),Taupunkt(℃),Gefühlte Temperatur(℃),Wind(m/s),Böe(m/s),Windrichtung(°),Abs. Luftdruck(hpa),Rel. Luftdruck(hpa),Sonneneinstrahlung(w/m2),UVI,Regen/Stunde(mm),Regen Event(mm),Regen/Tag(mm),Regen/Wochen(mm),Regen/Monat(mm),Regen/Jahre(mm),Pm2.5(ug/m3)
2023/8/1 0:00,22.6,61,17.1,92,15.8,17.1,0.3,0.5,73,990.3,990.3,0.0,0,0.0,7.9,0.0,7.9,0.0,355.9,--
2023/8/1 0:13,22.6,61,16.9,93,15.7,16.9,0.5,0.5,299,990.1,990.1,0.0,0,0.5,8.4,0.5,8.4,0.5,356.4,--
2023/8/1 0:28,22.6,61,16.7,95,15.9,16.7,0.5,1.0,262,989.7,989.7,0.0,0,1.0,8.9,1.0,8.9,1.0,356.9,--
2023/8/1 0:43,22.6,61,16.6,95,15.8,16.6,0.4,0.5,300,989.3,989.3,0.0,0,2.0,9.9,2.0,9.9,2.0,357.9,--
2023/8/1 0:58,22.6,61,16.5,96,15.9,16.5,0.0,0.0,335,988.9,988.9,0.0,0,2.3,10.2,2.3,10.2,2.3,358.2,--
2023/8/1 1:13,22.6,61,16.5,96,15.9,16.5,0.8,1.0,216,988.7,988.7,0.0,0,1.8,10.2,2.3,10.2,2.3,358.2,--
2023/8/1 1:28,22.5,61,16.7,96,16.1,16.7,1.7,2.0,158,988.5,988.5,0.0,0,1.5,10.4,2.5,10.4,2.5,358.4,--
2023/8/1 1:43,22.5,61,16.7,96,16.1,16.7,0.3,0.5,317,988.2,988.2,0.0,0,1.3,11.5,3.6,11.5,3.6,359.5,--
2023/8/1 1:58,22.5,61,16.6,97,16.2,16.6,0.0,0.0,15,987.9,987.9,0.0,0,1.5,11.7,3.8,11.7,3.8,359.7,--
2023/8/1 2:13,22.5,61,16.6,97,16.2,16.6,1.1,1.5,264,987.5,987.5,0.0,0,1.8,12.0,4.1,12.0,4.1,360.0,--
2023/8/1 2:28,22.5,61,16.6,97,16.2,16.6,0.5,0.5,236,987.6,987.6,0.0,0,1.8,12.2,4.3,12.2,4.3,360.2,--
2023/8/1 2:43,22.5,62,16.7,97,16.3,16.7,0.5,0.5,273,987.4,987.4,0.0,0,1.0,12.5,4.6,12.5,4.6,360.5,--
2023/8/1 2:58,22.5,62,16.7,97,16.3,16.7,1.0,1.5,144,987.3,987.3,0.0,0,1.3,13.0,5.1,13.0,5.1,361.0,--
2023/8/1 3:13,22.5,62,16.7,97,16.3,16.7,0.4,0.5,160,986.8,986.8,0.0,0,1.2,13.2,5.3,13.2,5.3,361.2,--
2023/8/1 3:28,22.5,62,16.6,97,16.2,16.6,0.0,0.0,332,986.5,986.5,0.0,0,1.3,13.5,5.6,13.5,5.6,361.5,--
2023/8/1 3:43,22.5,62,16.6,98,16.3,16.6,0.6,1.0,209,986.9,986.9,0.0,0,1.8,14.3,6.4,14.3,6.4,362.3,--
2023/8/1 3:58,22.4,62,16.6,98,16.3,16.6,1.4,2.0,171,986.8,986.8,0.0,0,1.5,14.5,6.6,14.5,6.6,362.5,--
2023/8/1 4:13,22.4,62,16.6,98,16.3,16.6,0.3,0.5,84,986.6,986.6,0.0,0,1.6,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 4:28,22.4,62,16.4,97,16.0,16.4,1.1,2.0,188,986.7,986.7,0.0,0,1.3,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 4:43,22.4,62,16.0,96,15.4,16.0,0.1,0.5,40,986.9,986.9,0.0,0,0.5,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 4:58,22.4,62,15.7,97,15.3,15.7,0.2,0.5,74,987.1,987.1,0.0,0,0.3,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 5:13,22.4,62,15.3,96,14.7,15.3,1.6,3.1,158,987.2,987.2,0.0,0,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 5:28,22.4,62,15.2,96,14.6,15.2,1.2,1.5,144,987.2,987.2,0.0,0,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 5:43,22.3,62,15.1,96,14.5,15.1,0.5,1.5,70,987.2,987.2,0.2,0,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 5:58,22.3,61,15.1,96,14.5,15.1,1.1,1.5,172,987.5,987.5,1.0,0,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 6:13,22.3,61,15.1,95,14.3,15.1,0.4,0.5,75,987.7,987.7,1.6,0,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 6:28,22.3,61,15.1,95,14.3,15.1,0.6,1.0,40,987.7,987.7,6.7,0,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 6:43,22.3,62,14.9,95,14.1,14.9,2.1,3.1,213,987.9,987.9,8.4,0,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 6:58,22.3,62,14.5,96,13.9,14.5,1.7,2.6,226,988.2,988.2,9.2,0,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 7:13,22.2,62,14.5,96,13.9,14.5,0.2,0.5,129,988.0,988.0,40.8,0,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 7:28,22.3,62,14.5,96,13.9,14.5,0.3,1.0,253,987.9,987.9,40.7,0,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 7:43,22.3,61,14.6,96,14.0,14.6,0.3,1.0,217,988.1,988.1,41.7,0,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 7:58,22.4,62,15.0,95,14.2,15.0,1.1,2.0,239,988.3,988.3,64.9,0,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 8:13,22.4,61,15.4,93,14.2,15.4,0.8,1.0,143,988.6,988.6,79.2,0,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 8:28,22.4,61,15.6,92,14.3,15.6,0.6,1.0,239,988.5,988.5,142.9,1,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 8:43,22.4,61,16.0,91,14.6,16.0,0.5,1.0,87,988.5,988.5,75.0,0,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 8:58,22.6,61,16.9,88,14.9,16.9,0.9,2.0,209,988.4,988.4,180.7,1,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 9:13,22.6,61,16.5,90,14.9,16.5,0.3,1.0,141,988.5,988.5,94.9,0,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 9:28,22.6,61,16.0,91,14.6,16.0,0.3,0.5,77,988.9,988.9,139.6,1,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 9:43,22.8,61,17.4,86,15.0,17.4,2.4,3.1,222,988.9,988.9,795.0,7,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 9:58,23.0,61,17.7,84,15.0,17.7,2.4,3.1,169,989.1,989.1,168.4,1,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 10:13,23.2,60,17.6,82,14.5,17.6,1.5,2.6,298,989.0,989.0,299.8,2,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 10:28,23.3,60,18.4,77,14.3,18.4,3.4,5.1,239,989.2,989.2,213.0,2,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 10:43,23.4,60,17.6,81,14.3,17.6,1.1,2.0,145,989.2,989.2,357.8,3,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 10:58,23.6,60,19.1,77,15.0,19.1,0.8,1.0,127,989.1,989.1,392.8,3,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 11:13,23.5,60,19.3,73,14.4,19.3,0.9,2.0,32,989.3,989.3,330.9,3,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 11:28,23.5,60,19.2,72,14.0,19.2,0.8,1.0,359,989.3,989.3,254.0,2,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 11:43,23.5,59,20.0,67,13.7,20.0,1.7,3.1,190,989.3,989.3,343.3,3,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 11:58,23.5,59,19.1,71,13.7,19.1,0.8,1.5,65,989.5,989.5,770.0,7,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 12:13,23.5,59,19.8,69,14.0,19.8,0.9,1.5,34,989.4,989.4,408.1,3,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 12:28,23.5,59,21.1,64,14.0,21.1,1.0,2.0,102,989.2,989.2,216.6,2,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 12:43,23.5,59,20.0,71,14.6,20.0,3.0,3.6,250,989.3,989.3,760.8,7,0.0,14.8,6.9,14.8,6.9,362.8,--
2023/8/1 12:58,23.5,59,20.3,68,14.2,20.3,1.2,2.0,196,989.3,989.3,774.9,7,0.0,14.8,6.9,14.8,6.9,362.8,--
