Zeit,Temperatur Innen(℃),Luftfeuchtigkeit Innen(%),Temperatur Aussen(℃),Luftfeuchtigkeit Aussen(%),Taupunkt(℃),Gefühlte Temperatur(℃),Wind(m/s),Böe(m/s),Windrichtung(°),Abs. Luftdruck(hpa),Rel. Luftdruck(hpa),Sonneneinstrahlung(w/m2),UVI,Regen/Stunde(mm),Regen Event(mm),Regen/Tag(mm),Regen/Wochen(mm),Regen/Monat(mm),Regen/Jahre(mm),Pm2.5(ug/m3)
2025/4/1 0:00,22.2,39,4.8,78,1.3,4.8,0.0,0.0,41,1014.9,1014.9,0.0,0,0.0,0.0,0.0,0.0,0.0,113.8,--
2025/4/1 0:15,22.2,39,4.7,78,1.2,4.7,0.0,0.0,41,1015.1,1015.1,0.0,0,0.0,0.0,0.0,0.0,0.0,113.8,--
2025/4/1 0:30,22.1,39,4.6,78,1.1,4.6,0.0,0.0,41,1015.0,1015.0,0.0,0,0.0,0.0,0.0,0.0,0.0,113.8,--
2025/4/1 0:45,22.1,39,4.3,79,1.0,4.3,0.0,0.0,42,1015.0,1015.0,0.0,0,0.0,0.0,0.0,0.0,0.0,113.8,--
2025/4/1 1:00,22.0,39,4.1,80,1.0,4.1,0.0,0.0,42,1015.1,1015.1,0.0,0,0.0,0.0,0.0,0.0,0.0,113.8,--
2025/4/1 1:15,21.9,39,4.0,81,1.0,4.0,0.0,0.0,41,1015.1,1015.1,0.0,0,0.0,0.0,0.0,0.0,0.0,113.8,--
2025/4/1 1:30,21.9,39,3.8,82,1.0,3.8,0.0,0.0,41,1015.0,1015.0,0.0,0,0.0,0.0,0.0,0.0,0.0,113.8,--
2025/4/1 1:45,21.8,39,4.3,80,1.1,4.3,0.0,0.0,41,1015.0,1015.0,0.0,0,0.0,0.0,0.0,0.0,0.0,113.8,--
2025/4/1 2:00,21.8,39,4.3,80,1.1,4.3,0.0,0.0,41,1014.8,1014.8,0.0,0,0.0,0.0,0.0,0.0,0.0,113.8,--
2025/4/1 2:15,21.7,39,4.1,81,1.1,4.1,0.0,0.0,41,1014.6,1014.6,0.0,0,0.0,0.0,0.0,0.0,0.0,113.8,--
2025/4/1 2:30,21.7,39,3.4,83,0.8,3.4,0.0,0.0,41,1014.9,1014.9,0.0,0,0.0,0.0,0.0,0.0,0.0,113.8,--
2025/4/1 2:45,21.7,39,2.9,85,0.6,2.9,0.0,0.0,41,1014.8,1014.8,0.0,0,0.0,0.0,0.0,0.0,0.0,113.8,--
2025/4/1 3:00,21.6,39,3.4,85,1.1,3.4,0.0,0.0,41,1014.7,1014.7,0.0,0,0.0,0.0,0.0,0.0,0.0,113.8,--
2025/4/1 3:15,21.5,39,3.4,84,0.9,3.4,0.0,0.0,41,1014.6,1014.6,0.0,0,0.0,0.0,0.0,0.0,0.0,113.8,--
2025/4/1 3:30,21.5,39,3.6,83,1.0,3.6,0.0,0.0,41,1014.4,1014.4,0.0,0,0.0,0.0,0.0,0.0,0.0,113.8,--
2025/4/1 3:45,21.5,39,2.9,85,0.6,2.9,0.0,0.0,41,1014.2,1014.2,0.0,0,0.0,0.0,0.0,0.0,0.0,113.8,--
2025/4/1 4:00,21.4,39,1.7,88,-0.2,1.7,0.0,0.0,42,1014.3,1014.3,0.0,0,0.0,0.0,0.0,0.0,0.0,113.8,--
2025/4/1 4:15,21.4,39,1.3,90,-0.2,1.3,0.0,0.0,45,1014.3,1014.3,0.0,0,0.0,0.0,0.0,0.0,0.0,113.8,--
2025/4/1 4:30,21.3,39,1.1,91,-0.2,1.1,0.0,0.0,46,1014.3,1014.3,0.0,0,0.0,0.0,0.0,0.0,0.0,113.8,--
2025/4/1 4:45,21.3,39,1.4,90,-0.1,1.4,0.0,0.0,7,1014.2,1014.2,0.0,0,0.0,0.0,0.0,0.0,0.0,113.8,--
2025/4/1 5:00,21.2,39,1.7,91,0.4,1.7,0.0,0.0,8,1014.1,1014.1,0.0,0,0.0,0.0,0.0,0.0,0.0,113.8,--
2025/4/1 5:15,21.2,39,2.0,91,0.7,2.0,0.0,0.0,7,1014.0,1014.0,0.0,0,0.0,0.0,0.0,0.0,0.0,113.8,--
